learning_rate,reg_alpha,reg_lambda,gamma,max_depth,min_child_weight,subsample,objective,nthread,max_delta_step,Accuracy,AUC Score (Train),Precision,Recall,f1-score,cv mean,cv Std,cv min,cv max
0.1,0.5,0.8,4,3,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9826779026217228,1.0,0.08333333333333333,0.15384615384615385,0.7972394220846233,0.06891862528101848,0.7222222222222223,0.9027777777777778
0.1,0.5,0.8,4,4,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9943820224719101,1.0,0.08333333333333333,0.15384615384615385,0.7166401143790849,0.1651908806731433,0.41666666666666663,0.9215686274509803
0.1,0.5,0.8,4,5,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9943820224719101,1.0,0.08333333333333333,0.15384615384615385,0.6937564499484004,0.14158385148216956,0.42105263157894735,0.8039215686274509
0.1,0.5,0.8,4,6,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9943820224719101,1.0,0.08333333333333333,0.15384615384615385,,,,
0.1,0.5,0.8,4,7,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9943820224719101,1.0,0.08333333333333333,0.15384615384615385,,,,
0.1,0.5,0.8,4,8,1,0.9,binary:logistic,-1,0,0.8910891089108911,0.9943820224719101,1.0,0.08333333333333333,0.15384615384615385,0.5929566563467492,0.2314686977789485,0.2368421052631579,0.8823529411764706
0.1,0.5,0.8,5,3,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9653558052434457,0.0,0.0,0.0,,,,
0.1,0.5,0.8,5,4,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,,,,
0.1,0.5,0.8,5,5,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,0.7311742131062952,0.12349089403271837,0.5789473684210527,0.875
0.1,0.5,0.8,5,6,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,0.6397385620915033,0.15826680985132954,0.3888888888888889,0.8
0.1,0.5,0.8,5,7,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,0.6727668845315904,0.05553355111235865,0.5925925925925926,0.75
0.1,0.5,0.8,5,8,1,0.9,binary:logistic,-1,0,0.8811881188118812,0.9854868913857677,0.0,0.0,0.0,,,,
0.1,0.5,0.9,1,3,1,0.9,binary:logistic,-1,0,0.9702970297029703,1.0,1.0,0.75,0.8571428571428571,0.6852887426900585,0.07171906711244863,0.6052631578947368,0.7777777777777778
0.1,0.5,0.9,1,4,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.7430953302373581,0.10370648193851646,0.631578947368421,0.921875
0.1,0.5,0.9,1,5,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.7165376676986585,0.18285268769808605,0.42105263157894735,0.9166666666666667
0.1,0.5,0.9,1,6,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.8127364981080152,0.12310311731304877,0.625,1.0
0.1,0.5,0.9,1,7,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,0.7530959752321982,0.11027762566879154,0.5789473684210527,0.9215686274509803
0.1,0.5,0.9,1,8,1,0.9,binary:logistic,-1,0,0.9504950495049505,1.0,1.0,0.5833333333333334,0.7368421052631579,,,,
0.1,0.5,0.9,2,3,1,0.9,binary:logistic,-1,0,0.9108910891089109,0.99812734082397,1.0,0.25,0.4,0.6895725834193326,0.08822118147424755,0.6052631578947368,0.8125
0.1,0.5,0.9,2,4,1,0.9,binary:logistic,-1,0,0.9207920792079208,0.997191011235955,1.0,0.3333333333333333,0.5,0.7246646026831784,0.049031664369266155,0.631578947368421,0.7647058823529411
0.1,0.5,0.9,2,5,1,0.9,binary:logistic,-1,0,0.9207920792079208,0.997191011235955,1.0,0.3333333333333333,0.5,0.7648304093567251,0.19230495855875102,0.4133333333333334,0.9444444444444444
0.1,0.5,0.9,2,6,1,0.9,binary:logistic,-1,0,0.9207920792079208,0.997191011235955,1.0,0.3333333333333333,0.5,0.7844480994152047,0.1146073475306716,0.609375,0.9444444444444444
0.1,0.5,0.9,2,7,1,0.9,binary:logistic,-1,0,0.9207920792079208,0.997191011235955,1.0,0.3333333333333333,0.5,0.7555555555555555,0.1437568661564807,0.6078431372549019,1.0
0.1,0.5,0.9,2,8,1,0.9,binary:logistic,-1,0,0.9207920792079208,0.997191011235955,1.0,0.3333333333333333,0.5,0.7347587719298245,0.14023364072859815,0.5833333333333334,1.0
